time_s,x,y,vx,vy
0.0,356500000.0,0.0,0.0,1091.5814248269912
60.0,356499994.3550586,65494.885489619475,-0.1881647110450846,1091.5814075425226
120.0,356499977.4202347,130989.7689051027,-0.3763294149553844,1091.581355689117
180.0,356499949.1955288,196484.6481723135,-0.5644941045961153,1091.581269266777
240.0,356499909.6809421,261979.52121711592,-0.752658772832494,1091.5811482755073
300.0,356499858.87647605,327474.38596537436,-0.9408234125297389,1091.5809927153139
360.0,356499796.78213257,392969.2403429536,-1.1289880165530704,1091.5808025862045
420.0,356499723.39791405,458464.0822757189,-1.3171525777677116,1091.5805778881888
480.0,356499638.72382325,523958.90968953626,-1.5053170890388887,1091.580318621278
540.0,356499542.7598634,589453.7205102723,-1.6934815432318318,1091.5800247854852
600.0,356499435.50603807,654948.5126637944,-1.8816459332117745,1091.5796963808252
660.0,356499316.9623514,720443.2840759712,-2.0698102518439563,1091.5793334073146
720.0,356499187.12880784,785938.0326726722,-2.2579744919936204,1091.5789358649718
780.0,356499046.00541234,851432.7563797678,-2.446138646526017,1091.5785037538167
840.0,356498893.59217024,916927.4531231301,-2.6343027083064023,1091.5780370738712
900.0,356498729.8890873,982422.1208286323,-2.822466670200039,1091.5775358251587
960.0,356498554.8961698,1047916.7574221491,-3.010630525072197,1091.5770000077046
1020.0,356498368.6134243,1113411.3608295568,-3.198794265788155,1091.5764296215357
1080.0,356498171.04085785,1178905.9289767332,-3.3869578852131985,1091.575824666681
1140.0,356497962.178478,1244400.4597895583,-3.5751213762126235,1091.575185143171
1200.0,356497742.0262927,1309894.9511939136,-3.763284731651735,1091.5745110510377
1260.0,356497510.5843102,1375389.4011156827,-3.951447944395847,1091.5738023903152
1320.0,356497267.8525393,1440883.8074807513,-4.139611007310284,1091.5730591610395
1380.0,356497013.83098924,1506378.1682150073,-4.327773913260384,1091.5722813632478
1440.0,356496748.51966965,1571872.481244341,-4.515936655111494,1091.5714689969793
1500.0,356496471.9185906,1637366.744494645,-4.704099225728973,1091.5706220622749
1560.0,356496184.02776253,1702860.955891814,-4.892261617978193,1091.5697405591775
1620.0,356495884.8471964,1768355.113361746,-5.080423824724539,1091.5688244877315
1680.0,356495574.37690353,1833849.2148303417,-5.2685858388334115,1091.567873847983
1740.0,356495252.61689574,1899343.258223504,-5.456747653170223,1091.5668886399799
1800.0,356494919.56718516,1964837.2414671392,-5.644909260600401,1091.5658688637718
1860.0,356494575.22778445,2030331.1624871565,-5.833070653989388,1091.5648145194104
1920.0,356494219.59870666,2095825.0192094683,-6.021231826202643,1091.5637256069488
1980.0,356493852.67996526,2161318.80955999,-6.209392770105642,1091.5626021264416
2040.0,356493474.4715742,2226812.531464641,-6.397553478563874,1091.5614440779457
2100.0,356493084.9735478,2292306.1828493434,-6.585713944442849,1091.5602514615193
2160.0,356492684.18590087,2357799.761640023,-6.773874160608095,1091.5590242772228
2220.0,356492272.10864854,2423293.26576261,-6.962034119925155,1091.5577625251178
2280.0,356491848.74180645,2488786.693143037,-7.150193815259594,1091.556466205268
2340.0,356491414.0853907,2554280.041707242,-7.338353239476994,1091.5551353177389
2400.0,356490968.1394177,2619773.3093811655,-7.52651238544296,1091.5537698625974
2460.0,356490510.90390444,2685266.4940907536,-7.714671246023113,1091.5523698399124
2520.0,356490042.37886816,2750759.593761955,-7.902829814083098,1091.5509352497545
2580.0,356489562.5643267,2816252.606320724,-8.090988082488582,1091.549466092196
2640.0,356489071.46029824,2881745.529693018,-8.279146044105252,1091.5479623673111
2700.0,356488569.06680137,2947238.361804801,-8.467303691798818,1091.5464240751753
2760.0,356488055.38385516,3012731.1005820394,-8.655461018435014,1091.5448512158664
2820.0,356487530.4114791,3078223.743950705,-8.843618016879597,1091.5432437894638
2880.0,356486994.14969313,3143716.289836775,-9.031774679998348,1091.541601796048
2940.0,356486446.5985175,3209208.736166231,-9.219931000657072,1091.5399252357024
3000.0,356485887.757973,3274701.080865059,-9.408086971721598,1091.5382141085113
3060.0,356485317.62808084,3340193.3218592517,-9.596242586057786,1091.5364684145609
3120.0,356484736.20886266,3405685.457074806,-9.784397836531516,1091.5346881539392
3180.0,356484143.50034046,3471177.484437724,-9.972552716008698,1091.532873326736
3240.0,356483539.5025367,3536669.401874014,-10.160707217355268,1091.5310239330431
3300.0,356482924.21547437,3602161.2073096894,-10.348861333437192,1091.5291399729533
3360.0,356482297.63917667,3667652.8986707684,-10.53701505712046,1091.5272214465617
3420.0,356481659.77366745,3733144.4738832763,-10.725168381271093,1091.525268353965
3480.0,356481010.6189709,3798635.930873244,-10.913321298755143,1091.5232806952617
3540.0,356480350.17511153,3864127.267566708,-11.10147380243869,1091.521258470552
3600.0,356479678.44211453,3929618.4818897103,-11.289625885187844,1091.519201679938
3660.0,356478995.42000526,3995109.5717683,-11.477777539868747,1091.5171103235232
3720.0,356478301.1088097,4060600.535128533,-11.66592875934757,1091.5149844014131
3780.0,356477595.5085541,4126091.3698964696,-11.854079536490522,1091.5128239137148
3840.0,356476878.61926526,4191582.0739981784,-12.042229864163836,1091.5106288605373
