time_s,x,y,vx,vy
0.0,-356500000.0,0.0,0.0,-1091.5814248269912
60.0,-356499994.3550586,-65494.88514393009,0.18816471223753373,-1091.5814075425224
120.0,-356499977.4202347,-130989.76821372395,0.3763294173402828,-1091.5813556891167
180.0,-356499949.1955288,-196484.6471352454,0.5644941081734632,-1091.5812692667766
240.0,-356499909.6809421,-261979.51983435854,0.7526587776022918,-1091.5811482755066
300.0,-356499858.87647605,-327474.3842369277,0.9408234184919873,-1091.580992715313
360.0,-356499796.78213257,-392969.2382688178,1.12898802370777,-1091.5808025862032
420.0,-356499723.39791405,-458464.079855894,1.3171525861148636,-1091.580577888187
480.0,-356499638.72382325,-523958.9069240223,1.505317098578494,-1091.5803186212759
540.0,-356499542.7598634,-589453.7173990695,1.6934815539638917,-1091.5800247854827
600.0,-356499435.50603807,-654948.5092069029,1.8816459451362906,-1091.5796963808225
660.0,-356499316.9623514,-720443.2802733912,2.0698102649609296,-1091.5793334073117
720.0,-356499187.12880784,-785938.0285244037,2.257974506303053,-1091.5789358649686
780.0,-356499046.00541234,-851432.7518858111,2.446138662027911,-1091.578503753813
840.0,-356498893.59217024,-916927.4482834854,2.6343027250007593,-1091.578037073867
900.0,-356498729.8890873,-982422.1156432998,2.822466688086861,-1091.5775358251542
960.0,-356498554.8961698,-1047916.7518911291,3.010630544151487,-1091.5770000076996
1020.0,-356498368.6134243,-1113411.3549528494,3.198794286059915,-1091.5764296215302
1080.0,-356498171.0408579,-1178905.922754339,3.386957906677431,-1091.575824666675
1140.0,-356497962.17847806,-1244400.4532214773,3.5751213988693316,-1091.5751851431646
1200.0,-356497742.02629274,-1309894.9442801462,3.763284755500921,-1091.5745110510309
1260.0,-356497510.58431023,-1375389.3938562293,3.951447969437514,-1091.573802390308
1320.0,-356497267.85253936,-1440883.7998756121,4.139611033544437,-1091.5730591610316
1380.0,-356497013.8309893,-1506378.1602641828,4.327773940687025,-1091.5722813632392
1440.0,-356496748.5196697,-1571872.4729478315,4.515936683730626,-1091.57146899697
1500.0,-356496471.91859066,-1637366.7358524506,4.7040992555406,-1091.570622062265
1560.0,-356496184.0277626,-1702860.9469039354,4.892261648982319,-1091.569740559167
1620.0,-356495884.84719646,-1768355.1040281837,5.080423856921169,-1091.5688244877203
1680.0,-356495574.3769036,-1833849.205151096,5.26858587222255,-1091.5678738479712
1740.0,-356495252.6168958,-1899343.2481985753,5.456747687751873,-1091.5668886399674
1800.0,-356494919.5671852,-1964837.231096528,5.644909296374568,-1091.5658688637586
1860.0,-356494575.2277845,-2030331.1517708632,5.8330706909560766,-1091.5648145193964
1920.0,-356494219.5987067,-2095825.0081474935,6.021231864361858,-1091.5637256069338
1980.0,-356493852.6799654,-2161318.7981523345,6.209392809457388,-1091.5626021264259
2040.0,-356493474.4715743,-2226812.519711305,6.397553519108157,-1091.561444077929
2100.0,-356493084.97354794,-2292306.1707503274,6.585713986179674,-1091.560251461502
2160.0,-356492684.185901,-2357799.749195328,6.773874203537467,-1091.5590242772046
2220.0,-356492272.10864866,-2423293.252972236,6.96203416404708,-1091.5577625250987
2280.0,-356491848.74180657,-2488786.680006985,7.150193860574078,-1091.5564662052482
2340.0,-356491414.0853908,-2554280.0282255122,7.338353285984042,-1091.5551353177182
2400.0,-356490968.1394178,-2619773.2955537587,7.526512433142578,-1091.5537698625758
2460.0,-356490510.90390456,-2685266.47991767,7.714671294915308,-1091.55236983989
2520.0,-356490042.3788683,-2750759.579243196,7.902829864167877,-1091.550935249731
2580.0,-356489562.5643268,-2816252.59145629,8.09098813376595,-1091.5494660921715
2640.0,-356489071.46029836,-2881745.51448291,8.279146096575218,-1091.5479623672857
2700.0,-356488569.0668015,-2947238.346249019,8.467303745461388,-1091.546424075149
2760.0,-356488055.3838553,-3012731.0846805843,8.655461073290194,-1091.5448512158391
2820.0,-356487530.41147923,-3078223.727703578,8.843618072927395,-1091.5432437894353
2880.0,-356486994.14969325,-3143716.2732439763,9.03177473723877,-1091.5416017960188
2940.0,-356486446.59851766,-3209208.7192277615,9.219931059090126,-1091.5399252356722
3000.0,-356485887.7579732,-3274701.06358092,9.408087031347293,-1091.53821410848
3060.0,-356485317.628081,-3340193.304229444,9.596242646876128,-1091.5364684145284
3120.0,-356484736.20886284,-3405685.43909933,9.784397898542515,-1091.5346881539058
3180.0,-356484143.50034064,-3471177.466116581,9.972552779212362,-1091.5328733267015
3240.0,-356483539.5025369,-3536669.3832072048,10.160707281751606,-1091.5310239330074
3300.0,-356482924.21547455,-3602161.188297214,10.348861399026209,-1091.5291399729165
3360.0,-356482297.6391769,-3667652.8793126284,10.537015123902165,-1091.5272214465238
3420.0,-356481659.7736677,-3733144.4541794728,10.725168449245498,-1091.5252683539259
3480.0,-356481010.6189711,-3798635.9108237773,10.913321367922254,-1091.5232806952215
3540.0,-356480350.17511183,-3864127.247171579,11.101473872798516,-1091.5212584705107
3600.0,-356479678.44211483,-3929618.4611489205,11.289625956740396,-1091.5192016798953
3660.0,-356478995.4200056,-3995109.5506818504,11.477777612614034,-1091.5171103234793
3720.0,-356478301.10881007,-4060600.513696424,11.665928833285603,-1091.5149844013679
3780.0,-356477595.5085545,-4126091.348118703,11.854079611621309,-1091.5128239136684
3840.0,-356476878.6192657,-4191582.051874755,12.042229940487388,-1091.5106288604895
3900.0,-356476150.4409708,-4257072.622890654,12.230379812750112,-1091.508399241942
3960.0,-356475410.9736974,-4322563.059092483,12.418529221275783,-1091.5061350581384
4020.0,-356474660.2174736,-4388053.358406328,12.60667815893074,-1091.5038363091928
4080.0,-356473898.1723279,-4453543.518758285,12.794826618581356,-1091.501502995221
4140.0,-356473124.8382891,-4519033.538074456,12.982974593094037,-1091.4991351163408
