time_s,x,y,vx,vy
0.0,-389468045.5007774,12896481.7500837,-7.035045575758354e-05,-1006.992176217861
60.0,-389468040.7830532,12836062.063152537,0.15732903411865623,-1006.9973759853787
120.0,-389468026.6212933,12775642.06496546,0.3147308380139515,-1007.0025514145304
180.0,-389468003.0153526,12715221.756982798,0.47213505757353236,-1007.0077025044444
240.0,-389467969.96508634,12654801.140664931,0.6295416891405192,-1007.0128292542488
300.0,-389467927.47034985,12594380.217472292,0.7869507290577484,-1007.0179316630727
360.0,-389467875.53099877,12533958.988865366,0.9443621736677729,-1007.0230097300455
420.0,-389467814.146889,12473537.456304692,1.1017760193128616,-1007.0280634542972
480.0,-389467743.31787646,12413115.621250857,1.259192262335,-1007.0330928349583
540.0,-389467663.04381746,12352693.485164503,1.41661089907589,-1007.0380978711597
600.0,-389467573.3245685,12292271.049506323,1.5740319258769497,-1007.0430785620329
660.0,-389467474.1599863,12231848.315737065,1.7314553390793141,-1007.0480349067099
720.0,-389467365.5499278,12171425.285317523,1.8888811350238346,-1007.0529669043232
780.0,-389467247.49425006,12111001.959708551,2.046309310051079,-1007.0578745540058
840.0,-389467119.99281055,12050578.340371048,2.203739860501332,-1007.0627578548913
900.0,-389466983.0454668,11990154.42876597,2.361172782714595,-1007.0676168061136
960.0,-389466836.6520766,11929730.22635432,2.5186080730305864,-1007.0724514068073
1020.0,-389466680.812498,11869305.734597158,2.676045727788741,-1007.0772616561075
1080.0,-389466515.5265892,11808880.954955593,2.833485743328211,-1007.0820475531497
1140.0,-389466340.79420877,11748455.888890786,2.990928115987865,-1007.0868090970699
1200.0,-389466156.6152153,11688030.53786395,3.148372842106289,-1007.0915462870048
1260.0,-389465962.9894677,11627604.90333635,3.3058199180217853,-1007.0962591220914
1320.0,-389465759.9168251,11567178.986769304,3.4632693400723746,-1007.1009476014674
1380.0,-389465547.3971469,11506752.789624179,3.620721104595794,-1007.1056117242708
1440.0,-389465325.43029255,11446326.313362395,3.7781752079294977,-1007.1102514896403
1500.0,-389465094.0161219,11385899.559445426,3.9356316464106573,-1007.114866896715
1560.0,-389464853.15449494,11325472.529334795,4.093090416376162,-1007.1194579446344
1620.0,-389464602.8452719,11265045.224492075,4.250551514162618,-1007.1240246325389
1680.0,-389464343.0883132,11204617.646378895,4.408014936106349,-1007.128566959569
1740.0,-389464073.88347954,11144189.796456933,4.5654806785433975,-1007.1330849248658
1800.0,-389463795.23063177,11083761.676187918,4.722948737809521,-1007.1375785275711
1860.0,-389463507.129631,11023333.28703363,4.8804191102401955,-1007.1420477668271
1920.0,-389463209.58033854,10962904.630455904,5.0378917921706154,-1007.1464926417765
1980.0,-389462902.5826159,10902475.707916623,5.195366779935693,-1007.1509131515623
2040.0,-389462586.1363249,10842046.520877723,5.3528440698700575,-1007.1553092953285
2100.0,-389462260.24132746,10781617.07080119,5.510323658308056,-1007.1596810722192
2160.0,-389461924.89748585,10721187.359149061,5.667805541583753,-1007.1640284813792
2220.0,-389461580.1046625,10660757.387383427,5.825289716030934,-1007.1683515219537
2280.0,-389461225.86271995,10600327.156966431,5.982776177983097,-1007.1726501930884
2340.0,-389460862.1715211,10539896.669360261,6.140264923773463,-1007.1769244939297
2400.0,-389460489.0309291,10479465.926027164,6.297755949734968,-1007.1811744236244
2460.0,-389460106.44080716,10419034.928429432,6.455249252200269,-1007.1853999813196
2520.0,-389459714.4010188,10358603.67802941,6.6127448275017375,-1007.1896011661634
2580.0,-389459312.9114278,10298172.176289497,6.770242671971467,-1007.1937779773039
2640.0,-389458901.97189814,10237740.424672138,6.927742781941266,-1007.1979304138899
2700.0,-389458481.5822939,10177308.424639834,7.0852451537426635,-1007.202058475071
2760.0,-389458051.7424796,10116876.177655134,7.242749783706906,-1007.2061621599968
2820.0,-389457612.45231986,10056443.68518064,7.4002566681649595,-1007.2102414678178
2880.0,-389457163.71167946,9996010.948679002,7.557765803447507,-1007.2142963976848
2940.0,-389456705.5204235,9935577.969612923,7.71527718588495,-1007.2183269487493
3000.0,-389456237.87841713,9875144.749445157,7.87279081180741,-1007.2223331201632
3060.0,-389455760.78552604,9814711.289638508,8.030306677544727,-1007.2263149110787
3120.0,-389455274.24161583,9754277.591655832,8.18782477942646,-1007.230272320649
3180.0,-389454778.24655247,9693843.656960035,8.345345113781885,-1007.2342053480273
3240.0,-389454272.80020213,9633409.487014074,8.50286767694,-1007.2381139923677
3300.0,-389453757.9024312,9572975.083280956,8.660392465229517,-1007.2419982528247
3360.0,-389453233.55310625,9512540.44722374,8.81791947497887,-1007.2458581285532
3420.0,-389452699.75209415,9452105.580305533,8.975448702516214,-1007.2496936187088
3480.0,-389452156.4992619,9391670.4839895,9.13298014416942,-1007.2535047224474
3540.0,-389451603.7944768,9331235.159738846,9.290513796266078,-1007.2572914389254
3600.0,-389451041.6376063,9270799.609016834,9.448049655133499,-1007.2610537673002
3660.0,-389450470.02851814,9210363.833286775,9.605587717098711,-1007.2647917067289
3720.0,-389449888.96708024,9149927.834012032,9.763127978488464,-1007.26850525637
3780.0,-389449298.4531607,9089491.612656016,9.920670435629226,-1007.2721944153817
3840.0,-389448698.48662794,9029055.17068219,10.078215084847185,-1007.2758591829232
3900.0,-389448089.0673505,8968618.50955407,10.235761922468248,-1007.2794995581543
3960.0,-389447470.1951972,8908181.630735217,10.393310944818039,-1007.2831155402348
4020.0,-389446841.8700371,8847744.535689246,10.550862148221904,-1007.2867071283255
4080.0,-389446204.09173936,8787307.225879822,10.708415529004911,-1007.2902743215875
4140.0,-389445556.8601735,8726869.70277066,10.865971083491845,-1007.2938171191824
4200.0,-389444900.1752093,8666431.967825525,11.023528808007208,-1007.2973355202726
4260.0,-389444234.0367165,8605994.022508232,11.181088698875227,-1007.3008295240204
4320.0,-389443558.44456536,8545555.868282648,11.338650752419845,-1007.3042991295893
4380.0,-389442873.39862615,8485117.506612686,11.496214964964727,-1007.3077443361428
4440.0,-389442178.8987695,8424678.938962316,11.653781332833258,-1007.3111651428453
4500.0,-389441474.9448662,8364240.166795551,11.811349852348542,-1007.3145615488614
4560.0,-389440761.5367872,8303801.191576458,11.968920519833402,-1007.3179335533565
4620.0,-389440038.6744038,8243362.014769153,12.126493331610384,-1007.3212811554963
4680.0,-389439306.3575874,8182922.637837803,12.284068284001751,-1007.324604354447
4740.0,-389438564.5862097,8122483.062246624,12.44164537332949,-1007.3279031493755
4800.0,-389437813.3601426,8062043.289459883,12.599224595915304,-1007.3311775394491
4860.0,-389437052.67925817,8001603.320941895,12.75680594808062,-1007.3344275238355
4920.0,-389436282.5434288,7941163.158157027,12.914389426146583,-1007.3376531017033
4980.0,-389435502.952527,7880722.802569696,13.071975026434059,-1007.340854272221
5040.0,-389434713.9064256,7820282.255644366,13.229562745263634,-1007.3440310345583
5100.0,-389433915.4049975,7759841.518845554,13.387152578955616,-1007.3471833878848
5160.0,-389433107.44811606,7699400.593637826,13.544744523830035,-1007.3503113313711
5220.0,-389432290.0356546,7638959.481485795,13.702338576206637,-1007.3534148641882
5280.0,-389431463.16748685,7578518.183854128,13.859934732404891,-1007.3564939855072
5340.0,-389430626.84348667,7518076.702207539,14.017532988743989,-1007.3595486945003
5400.0,-389429781.0635282,7457635.038010793,14.175133341542839,-1007.3625789903399
5460.0,-389428925.8274857,7397193.192728703,14.332735787120075,-1007.365584872199
5520.0,-389428061.1352337,7336751.167826134,14.490340321794049,-1007.3685663392511
5580.0,-389427186.986647,7276308.964767998,14.647946941882834,-1007.3715233906702
5640.0,-389426303.3816006,7215866.585019259,14.805555643704226,-1007.3744560256307
5700.0,-389425410.3199697,7155424.030044928,14.96316642357574,-1007.3773642433079
5760.0,-389424507.8016297,7094981.301310067,15.120779277814611,-1007.3802480428772
5820.0,-389423595.8264563,7034538.400279787,15.2783942027378,-1007.3831074235146
5880.0,-389422674.3943254,6974095.32841925,15.436011194661985,-1007.3859423843968
5940.0,-389421743.50511295,6913652.087193665,15.593630249903567,-1007.388752924701
6000.0,-389420803.15869534,6853208.678068291,15.75125136477867,-1007.3915390436046
6060.0,-389419853.3549491,6792765.102508438,15.908874535603134,-1007.3943007402859
6120.0,-389418894.093751,6732321.361979462,16.066499758692526,-1007.3970380139234
6180.0,-389417925.374978,6671877.457946772,16.224127030362133,-1007.3997508636965
6240.0,-389416947.1985073,6611433.391875823,16.381756346926963,-1007.4024392887848
6300.0,-389415959.5642163,6550989.165232122,16.539387704701745,-1007.4051032883684
6360.0,-389414962.4719827,6490544.779481224,16.69702110000093,-1007.4077428616282
6420.0,-389413955.9216843,6430100.236088732,16.854656529138694,-1007.4103580077453
6480.0,-389412939.9131992,6369655.5365202995,17.01229398842893,-1007.4129487259015
6540.0,-389411914.44640565,6309210.682241629,17.169933474185253,-1007.4155150152791
6600.0,-389410879.52118224,6248765.674718471,17.327574982721007,-1007.4180568750609
6660.0,-389409835.1374077,6188320.515416627,17.48521851034925,-1007.4205743044301
6720.0,-389408781.294961,6127875.205801945,17.642864053382763,-1007.4230673025708
6780.0,-389407717.99372125,6067429.747340324,17.800511608134055,-1007.425535868667
6840.0,-389406645.23356795,6006984.141497711,17.958161170915353,-1007.4279800019038
6900.0,-389405563.0143807,5946538.389740101,18.115812738038606,-1007.4303997014666
6960.0,-389404471.33603936,5886092.49353354,18.273466305815486,-1007.4327949665412
7020.0,-389403370.198424,5825646.454344121,18.431121870557384,-1007.435165796314
7080.0,-389402259.60141486,5765200.273637987,18.588779428575418,-1007.4375121899719
7140.0,-389401139.5448925,5704753.952881329,18.74643897618043,-1007.4398341467025
7200.0,-389400010.02873766,5644307.493540388,18.904100509682976,-1007.4421316656938
7260.0,-389398871.0528313,5583860.8970814515,19.061764025393344,-1007.4444047461341
