time_s,x,y,vx,vy
0.0,-57650917.11191687,-53538799.29225107,-613.67667485984,-2839.1917220461114
60.0,-57687652.996927634,-53709071.970725365,-610.8550871231912,-2836.5652189570596
120.0,-57724219.99282697,-53879187.237403646,-608.0470220575103,-2833.944659552427
180.0,-57760618.90814785,-54049145.44843374,-605.2523855622143,-2831.330028050501
240.0,-57796850.54580275,-54218946.95901529,-602.4710843866704,-2828.7213086264924
300.0,-57832915.70313438,-54388592.123397194,-599.7030261208944,-2826.118485414938
360.0,-57868815.17196584,-54558081.29487528,-596.9481191863658,-2823.5215425120427
420.0,-57904549.73865022,-54727414.82579004,-594.2062728269599,-2820.930463977972
480.0,-57940120.1841197,-54896593.06752456,-591.4773970999938,-2818.345233839085
540.0,-57975527.283934094,-55065616.37050255,-588.7614028673858,-2815.7658360901173
600.0,-58010771.80832884,-55234485.08418649,-586.0582017869247,-2813.1922546963133
660.0,-58045854.52226249,-55403199.55707597,-583.3677063036506,-2810.624473595504
720.0,-58080776.18546373,-55571760.13670606,-580.6898296413424,-2808.0624767001373
780.0,-58115537.5524778,-55740167.169645876,-578.0244857941124,-2805.506247899262
840.0,-58150139.37271251,-55908421.00149721,-575.3715895181061,-2802.95577106046
900.0,-58184582.39048367,-56076521.97689333,-572.7310563233059,-2800.411030031737
960.0,-58218867.345060125,-56244470.43949782,-570.1028024654358,-2797.8720086433627
1020.0,-58252994.97070823,-56412266.732003614,-567.4867449379688,-2795.338690709671
1080.0,-58286965.99673587,-56579911.196132064,-564.8828014642316,-2792.8110600308146
1140.0,-58320781.14753605,-56747404.17263215,-562.2908904896094,-2790.2891003944765
1200.0,-58354441.142629944,-56914746.00127977,-559.7109311738454,-2787.772795577543
1260.0,-58387946.696709566,-57081937.020877175,-557.1428433834368,-2785.2621293477328
1320.0,-58421298.51967994,-57248977.569252424,-554.5865476841244,-2782.7570854651876
1380.0,-58454497.31670081,-57415867.983259,-552.041965333475,-2780.257647684025
1440.0,-58487543.78822795,-57582608.5987755,-549.5090182735547,-2777.763799753851
1500.0,-58520438.630054034,-57749199.75070538,-546.9876291236933,-2775.275525421237
1560.0,-58553182.533349,-57915641.77297687,-544.4777211733365,-2772.792808431161
1620.0,-58585776.1847001,-58081934.99854284,-541.9792183749864,-2770.3156325284103
1680.0,-58618220.26615145,-58248079.75938091,-539.4920453372284,-2767.843981458953
1740.0,-58650515.455243185,-58414076.38649351,-537.0161273178434,-2765.377838971272
1800.0,-58682662.42505022,-58579925.2099081,-534.5513902170034,-2762.917188817669
1860.0,-58714661.844220586,-58745626.55867741,-532.0977605705513,-2760.4620147555324
1920.0,-58746514.377013355,-58911180.760879815,-529.6551655433614,-2758.012300548578
1980.0,-58778220.68333621,-59076588.143619716,-527.2235329227811,-2755.5680299680516
2040.0,-58809781.41878259,-59241849.03302805,-524.8027911121524,-2753.1291867939085
2100.0,-58841197.23466844,-59406963.75426285,-522.3928691244107,-2750.6957548159576
2160.0,-58872468.778068624,-59571932.63150985,-519.993696575763,-2748.26771783498
2220.0,-58903596.69185291,-59736755.98798318,-517.6052036794406,-2745.845059663816
2280.0,-58934581.61472163,-59901434.145926155,-515.2273212395284,-2743.4277641284257
2340.0,-58965424.18124092,-60065967.42661204,-512.8599806448676,-2741.0158150689235
2400.0,-58996125.02187765,-60230356.150344975,-510.50311386303264,-2738.609196340583
2460.0,-59026684.763033934,-60394600.63646089,-508.15665343437956,-2736.2078918148163
2520.0,-59057104.02708137,-60558701.203328505,-505.82053246616636,-2733.811885380131
2580.0,-59087383.43239485,-60722658.16835038,-503.4946846267432,-2731.421160943058
2640.0,-59117523.59338604,-60886471.847964056,-501.17904413981256,-2729.035702429056
2700.0,-59147525.120536566,-61050142.55764316,-498.8735457787574,-2726.655493783394
2760.0,-59177388.62043079,-61213670.61189867,-496.5781248610372,-2724.280518972006
2820.0,-59207114.69578832,-61377056.32428015,-494.2927172426507,-2721.91076198233
2880.0,-59236703.94549613,-61540300.00737709,-492.017259312664,-2719.5462068241145
